Username,Email,Domain
Bob,SlayerXX,FriendFinder.ca
John,WompWompWilly,FriendFinder.com
Phill,SeriousGoose,FriendFinder.org
Ted,WatchGamer,BuddeeInc.ca
Tommy,Xx_Darkness_xX,BuddeeInc.com
Cohen,EepyGoose2004,BuddeeInc.org
Peter,Kingof,Fmail.com
Nicole,i_eat_crayons,Hmail.ca
Noah,AlphaWolf,Outbook.com
Blythe,WhyIsThisHard,Outbook.ca
Harman,VeryNormalEmail,Desires.ca
Frederick,MoonTales,Desires.com
Rebecca,WoodchipMuncher,Pack.ca
Angelica,DiscordKitten,Elgoog.com
Stephen,RizzardOfOz,Elgoog.ca
Robyn,Xx_PigOW_xX,OwSupport.com
Lucy,,
Taylor,,
Gerogie,,
Alexander,,
Lucifer,,
Brandon,,
